,Date,type,value
556,01-Apr-14,northwest,99.5
557,01-Apr-14,westmidlands,99
558,01-Apr-14,london,97.699997
559,01-Apr-14,southwest,98.699997
560,01-May-14,england,98.5
561,01-May-14,northwest,99.5
562,01-May-14,westmidlands,99.099998
563,01-May-14,london,98
564,01-May-14,southwest,98.699997
565,01-Jun-14,england,98.599998
566,01-Jun-14,northwest,99.599998
567,01-Jun-14,westmidlands,99.099998
568,01-Jun-14,london,98.099998
569,01-Jun-14,southwest,98.800003
570,01-Jul-14,england,98.800003
571,01-Jul-14,northwest,99.599998
572,01-Jul-14,westmidlands,99.300003
573,01-Jul-14,london,98.300003
574,01-Jul-14,southwest,99
575,01-Aug-14,england,98.900002
576,01-Aug-14,northwest,99.599998
577,01-Aug-14,westmidlands,99.199997
578,01-Aug-14,london,98.5
579,01-Aug-14,southwest,99.199997
580,01-Sep-14,england,99
581,01-Sep-14,northwest,99.699997
582,01-Sep-14,westmidlands,99.300003
583,01-Sep-14,london,98.699997
584,01-Sep-14,southwest,99.199997
585,01-Oct-14,england,99.199997
586,01-Oct-14,northwest,99.699997
587,01-Oct-14,westmidlands,99.400002
588,01-Oct-14,london,99
589,01-Oct-14,southwest,99.400002
590,01-Nov-14,england,99.400002
591,01-Nov-14,northwest,99.800003
592,01-Nov-14,westmidlands,99.699997
593,01-Nov-14,london,99.199997
594,01-Nov-14,southwest,99.599998
595,01-Dec-14,england,99.699997
596,01-Dec-14,northwest,99.900002
597,01-Dec-14,westmidlands,99.800003
598,01-Dec-14,london,99.5
599,01-Dec-14,southwest,99.800003
600,01-Jan-15,england,100
601,01-Jan-15,northwest,100
602,01-Jan-15,westmidlands,100
603,01-Jan-15,london,100
604,01-Jan-15,southwest,100
605,01-Feb-15,england,100.2
606,01-Feb-15,northwest,100
607,01-Feb-15,westmidlands,100.1
608,01-Feb-15,london,100.3
609,01-Feb-15,southwest,100.1
610,01-Mar-15,england,100.4
611,01-Mar-15,northwest,100
612,01-Mar-15,westmidlands,100.2
613,01-Mar-15,london,100.6
614,01-Mar-15,southwest,100.2
615,01-Apr-15,england,100.6
616,01-Apr-15,northwest,100.1
617,01-Apr-15,westmidlands,100.4
618,01-Apr-15,london,100.9
619,01-Apr-15,southwest,100.4
620,01-May-15,england,100.9
621,01-May-15,northwest,100.1
622,01-May-15,westmidlands,100.6
623,01-May-15,london,101.5
624,01-May-15,southwest,100.5
625,01-Jun-15,england,101.1
626,01-Jun-15,northwest,100.1
627,01-Jun-15,westmidlands,100.8
628,01-Jun-15,london,101.8
629,01-Jun-15,southwest,100.6
630,01-Jul-15,england,101.2
631,01-Jul-15,northwest,100.2
632,01-Jul-15,westmidlands,101
633,01-Jul-15,london,102
634,01-Jul-15,southwest,100.6
635,01-Aug-15,england,101.6
636,01-Aug-15,northwest,100.4
637,01-Aug-15,westmidlands,101.1
638,01-Aug-15,london,102.7
639,01-Aug-15,southwest,100.9
640,01-Sep-15,england,101.8
641,01-Sep-15,northwest,100.4
642,01-Sep-15,westmidlands,101.2
643,01-Sep-15,london,102.8
644,01-Sep-15,southwest,101
645,01-Oct-15,england,102
646,01-Oct-15,northwest,100.6
647,01-Oct-15,westmidlands,101.3
648,01-Oct-15,london,103
649,01-Oct-15,southwest,101.1
650,01-Nov-15,england,102.2
651,01-Nov-15,northwest,100.8
652,01-Nov-15,westmidlands,101.4
653,01-Nov-15,london,103.3
654,01-Nov-15,southwest,101.3
655,01-Dec-15,england,102.3
656,01-Dec-15,northwest,100.9
657,01-Dec-15,westmidlands,101.6
658,01-Dec-15,london,103.4
659,01-Dec-15,southwest,101.1
660,01-Jan-16,england,102.7
661,01-Jan-16,northwest,101
