,"Current
ONS code",Lower and Single Tier Authority Data,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,,2019-20,2020-21,Price rise 
Yorkshire and The Humber,E08000033,Calderdale,,,,,,32.41,33.68,34.89,35.88,37.15,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
Yorkshire and The Humber,E07000163,Craven,,,,,,38.73,40.08,40.85,42.65,44.61,46.75,49.70,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,166.03,..,#VALUE!
Yorkshire and The Humber,E08000017,Doncaster,,,,,,28.45,30.36,31.57,33.25,35.11,38.21,41.31,40.60,42.06,44.18,46.38,49.89,51.97,53.82,55.26,59.43,62.74,66.57,69.43,71.32,71.06,70.61,70.17,,69.80,71.88,2.974541108
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,,,,,,32.05,33.14,34.51,36.15,38.25,40.46,43.13,45.60,46.98,48.53,50.14,52.68,55.84,57.61,59.09,64.40,70.01,73.99,78.86,82.05,81.63,80.94,80.32,,79.65,82.04,2.997759695
Yorkshire and The Humber,E07000164,Hambleton,,,,,,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
Yorkshire and The Humber,E07000165,Harrogate,,,,,,42.19,42.96,43.76,45.33,47.60,50.04,51.16,53.30,53.92,55.62,57.79,60.57,63.27,65.30,66.00,69.83,74.52,77.28,80.64,82.55,81.81,81.03,80.66,,79.43,81.59,2.716009107
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",,,,,,31.18,32.17,34.24,35.20,37.06,42.10,45.24,46.12,47.61,49.21,51.55,55.21,56.87,58.43,59.18,62.87,66.28,69.85,72.61,74.23,73.71,73.23,72.76,,72.21,74.16,2.690746512
Yorkshire and The Humber,E08000034,Kirklees,,,,,,36.37,36.4,38.60,40.17,41.53,43.16,44.17,45.06,46.47,48.78,49.64,53.17,54.53,56.10,56.68,60.02,64.14,64.14,69.79,71.32,70.52,69.77,69.02,,68.29,70.13,2.694391565
Yorkshire and The Humber,E08000035,Leeds,,,,,,30.03,31.07,32.27,34.17,36.46,38.57,40.35,41.87,43.47,45.17,47.67,51.02,53.03,55.06,56.40,60.28,64.43,68.25,74.78,76.24,72.63,72.63,72.01,,72.01,74.04,2.827067893
Yorkshire and The Humber,E06000012,North East Lincolnshire,,,,,,32.28,33.27,34.86,36.66,38.32,39.82,42.96,42.90,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
Yorkshire and The Humber,E06000013,North Lincolnshire,,,,,,30.96,31.84,32.78,34.71,37.00,38.34,40.90,40.79,42.96,45.58,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
Yorkshire and The Humber,E07000166,Richmondshire,,,,,,37.15,38.36,39.54,41.36,43.40,45.21,47.38,45.96,49.30,51.04,53.53,56.20,60.27,60.86,62.05,66.36,71.07,73.92,77.38,79.71,78.91,78.09,77.25,,75.04,78.53,4.650852878
Yorkshire and The Humber,E08000018,Rotherham,,,,,,26.35,27.38,28.58,30.21,32.34,33.56,36.36,38.22,39.82,42.89,45.03,48.24,50.68,52.50,54.04,63.88,64.27,72.78,72.79,74.76,74.27,73.54,72.98,,72.40,74.39,2.749388912
Yorkshire and The Humber,E07000168,Scarborough,,,,,,37.91,38.9,40.00,41.60,43.84,45.92,48.30,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,,..,..,#VALUE!
